Datum	Ereignis	Sportart	Ort
28.6.2026 - 11.7.2026	2026 UEFA European Under-19 Championship	Association football	
29.6.2026 - 4.7.2026	2026 Men's U22 European Volleyball Championship	Vollyball	
29.6.2026 - 12.7.2026	2026 Wimbledon Championships	Tennis	
30.6.2026 - 4.7.2026	2026 European Junior Artistic Swimming Championships	Artistic swimming	
30.6.2026 - 4.7.2026	2026 U-16 Men's Softball European Championship 2026 U-18 Men's Softball European Championship	Softball	
1.7.2026 - 5.7.2026	2026 ICF Junior and U23 Canoe Sprint World Championships	Canoeing	
1.7.2026 - 7.7.2026	2026 AVC Girls' U18 Volleyball Championship	Volleyball	
1.7.2026 - 12.7.2026	2026 Women's U18 European Volleyball Championship	Volleyball	
4.7.2026 - 12.7.2026	2026 FIBA U20 Women's EuroBasket	Basketball	
4.7.2026 - 18.7.2026	2026 Men's U18 European Volleyball Championship	Volleyball	
4.7.2026 - 26.7.2026	2026 Tour de France	Road bicycle racing	
5.7.2026	2026 British Grand Prix (F1) #11	Formula racing	
5.7.2026 - 11.7.2026	2026 World Youth Weightlifting Championships	Weightlifting	
6.7.2026 - 12.7.2026	2026 Women's U22 European Volleyball Championship	Volleyball	
6.7.2026 - 12.7.2026	2026 U20 European Wrestling Championship	Wrestling	
7.7.2026 - 11.7.2026	2026 U-12 Baseball European Championship	Baseball	
7.7.2026 - 11.7.2026	2026 World Orienteering Championships	Orienteering	
7.7.2026 - 12.7.2026	2026 European Junior Swimming Championships	Swimming	
7.7.2026 - 12.7.2026	2026 UEC European Track Championships (under-23 & junior)	Track cycling	
8.7.2026 - 19.7.2026	2026 European Men's U-20 Handball Championship	Handball	
9.7.2026 - 12.7.2026	2026 Evian Championship	Golf	
11.7.2026	UFC 329: McGregor vs. Holloway 2	Mixed martial arts	
11.7.2026	RAF Georgia: Dvalishvili vs. Cejudo	Wrestling	
11.7.2026 - 12.7.2026	2026 GT World Challenge Asia (Fuji Speedway round #4)	Endurance racing	
11.7.2026 - 12.7.2026	2026 WSBK Donington Park round	Motorcycle racing	
11.7.2026 - 19.7.2026	2026 FIBA U20 EuroBasket	Basketball	
11.7.2026 - 19.7.2026	2026 FIBA Under-17 Women's Basketball World Cup	Basketball	
12.7.2026	2026 6 Hours of São Paulo (WEC #5)	Endurance racing	
12.7.2026	2026 German motorcycle Grand Prix (MotoGP #11)	Motorcycle racing	
12.7.2026 - 18.7.2026	2026 AVC Boys' U18 Volleyball Championship	Volleyball	
13.7.2026 - 19.7.2026	2026 U-18 Baseball European Championship	Baseball	
14.7.2026	2026 Major League Baseball All-Star Game	Baseball	
14.7.2026 - 18.7.2026	2026 Coed Slowpitch European Championship	Softball	
16.7.2026 - 19.7.2026	2026 Open Championship	Golf	
17.7.2026 - 8.8.2026	2026 Lanka Premier League season	T20 Cricket	
18.7.2026	RAF 11: Tsarukyan vs. Covington	Wrestling	
19.7.2026	2026 Belgian Grand Prix (F1) #12	Formula racing	
19.7.2026 - 26.7.2026	2026 European Inline Speed Skating Championships	Inline speed skating	
20.7.2026 - 25.7.2026	2026 ICF Canoe Slalom World Championships	Canoe slalom	
20.7.2026 - 25.7.2026	2026 U-22 Women's Softball European Championship	Softball	
20.7.2026 - 26.7.2026	2026 European Youth Archery Championships	Archery	
21.7.2026 - 26.7.2026	2026 China Open	Badminton	
21.7.2026 - 16.8.2026	2026 The Hundred season	Cricket	
22.7.2026 - 26.7.2026	2026 World Rowing U23 Championships	Rowing	
22.7.2026 - 30.7.2026	2026 World Fencing Championships	Fencing	
23.7.2026 - 29.7.2026	2026 World Junior Modern Pentathlon Championships	Modern pentathlon	
23.7.2026 - 2.8.2026	2026 Commonwealth Games	Commonwealth Games	
24.7.2026 - 2.8.2026	2026 World Lacrosse Women's Championship	Lacrosse	
26.7.2026	2026 Hungarian Grand Prix (F1) #13	Formula racing	
26.7.2026 - 16.8.2026	2026 Women's Africa Cup of Nations	Association football	
26.7.2026 - 13.12.2026	2026 AFA Liga Profesional de Fútbol Tornea Clausura season	Association football	
27.7.2026 - 1.8.2026	2026 U-15 Women's Softball European Championship	Softball	
29.7.2026 - 9.8.2026	2026 IHF Women's U18 Handball World Championship	Handball	
30.7.2026 - 2.8.2026	2026 UEC Mountain Bike European Cross Country Championships	Mountain biking	
30.7.2026 - 2.8.2026	2026 European Rowing Championships	Rowing	
31.7.2026 - 16.8.2026	2026 European Aquatics Championships	Aquatics	
1.8.2026 - 9.8.2026	2026 Tour de France Femmes	Road bicycle racing	
2.8.2026 - 12.8.2026	2026 Canadian Open	Tennis	
3.8.2026 - 9.8.2026	2026 European Modern Pentathlon Championships	Modern pentathlon	
5.8.2026 - 9.8.2026	2026 World Rowing Junior Championships	Rowing	
6.8.2026 - 16.8.2026	2026 FIVB Volleyball Girls' U17 World Championship	Volleyball	
9.8.2026	2026 British motorcycle Grand Prix (MotoGP #12)	Motorcycle racing	
10.8.2026 - 16.8.2026	2026 European Athletics Championships	Athletics	
11.8.2026 - 23.8.2026	2026 FEI World Championships	Equestrian	
12.8.2026 - 16.8.2026	2026 Rhythmic Gymnastics World Championships	Rhythmic gymnastics	
13.8.2026 - 16.8.2026	2026 IFAF Men's Flag Football World Championship 2026 IFAF Women's Flag Football World Championship	Flag football	
13.8.2026 - 23.8.2026	2026 Cincinnati Open	Tennis	
13.8.2026 - 30.8.2026	2026 FedEx Cup Playoffs	Golf	
14.8.2026 - 30.8.2026	2026 Men's FIH Hockey World Cup	Field hockey	
14.8.2026 - 30.8.2026	2026 Women's FIH Hockey World Cup	Field hockey	
16.8.2026	2026 FA Community Shield	Association football	
17.8.2026 - 23.8.2026	2026 BWF World Championships	Badminton	
19.8.2026 - 29.8.2026	2026 FIVB Volleyball Boys' U17 World Championship	Volleyball	
20.8.2026 - 23.8.2026	2026 World Judo Cadet Championships	Judo	
20.8.2026 - 30.8.2026	2026 Little League World Series	Baseball	
21.8.2026 - 3.9.2026	2026 Mediterranean Games	Mediterranean Games	
21.8.2026 - 6.9.2026	2026 Women's European Volleyball Championship	Volleyball	
22.8.2026	2026 Franz Beckenbauer Supercup	Association football	
22.8.2026	RAF 12	Wrestling	
22.8.2026 - 13.9.2026	2026 Vuelta a España	Road bicycle racing	
23.8.2026	2026 Dutch Grand Prix (F1) #14	Formula Racing	
23.8.2026 - 30.8.2026	2026 World Rowing Championships	Rowing	
24.8.2026 - 30.8.2026	2026 World Modern Pentathlon Championships	Modern pentathlon	
26.8.2026 - 30.8.2026	2026 ICF Canoe Sprint World Championships	Canoeing	
26.8.2026 - 30.8.2026	2026 PDGA World Championships	Disc golf	
26.8.2026 - 30.8.2026	2026 UCI Mountain Bike World Championships	Mountain biking	
26.8.2026 - 30.8.2026	2026 Oceania Table Tennis Championships	Table tennis	
28.8.2026 - 30.8.2026	2026 FIS Grass Skiing World Cup Final	Grass skiing	
29.8.2026 - 30.8.2026	2026 GT World Challenge Asia (Okayama round #5)	Endurance racing	
29.8.2026 - 12.12.2026	2026 NCAA Division I FBS football season	American football	
30.8.2026	2026 UEC Gravel Bike European Championships	Gravel biking	
30.8.2026	2026 Sydney Marathon (WMM #4)	Marathon	
30.8.2026	2026 Aragon motorcycle Grand Prix (MotoGP #13)	Motorcycle racing	
31.8.2026 - 13.9.2026	2026 European Artistic Roller Skating Championships	Artistic roller skating	
31.8.2026 - 13.9.2026	2026 US Open	Tennis	
4.9.2026 - 6.9.2026	2026 UCI Para-cycling Road World Championships	Road Cycling	
4.9.2026 - 13.9.2026	2026 FIBA Women's Basketball World Cup	Basketball	
5.9.2026 - 6.9.2026	2026 WSBK French round	Motorcycle racing	
5.9.2026 - 6.9.2026	2026 European Rowing Under 23 Championships	Rowing	
5.9.2026 - 27.9.2026	2026 FIFA U-20 Women's World Cup	Association football	
6.9.2026	2026 Lone Star Le Mans (WEC #6)	Endurance racing	
6.9.2026	2026 Italian Grand Prix (F1) #15	Formula racing	
9.9.2026 - 10.1.2026	2026 NFL season	American football	
9.9.2026 - 12.9.2026	2026 World Team Disc Golf Championships	Disc golf	
9.9.2026 - 19.9.2026	2026 IWBF Wheelchair Basketball World Championships	Wheelchair Basketball	
9.9.2026 - 26.9.2026	2026 Men's European Volleyball Championship	Volleyball	
10.9.2026 - 11.9.2026	2026 WSBK Estoril round	Motorcycle racing	
11.9.2026 - 13.9.2026	2026 World Athletics Ultimate Championship	Athletics	
11.9.2026 - 13.9.2026	2026 ARRC Sepang round	Motorcycle racing	
11.9.2026 - 13.9.2026	2026 UEC Mountain Bike Marathon European Championships	Mountain biking	
12.9.2026	2026 UCI Mountain Bike Marathon World Championships	Mountain Bike Cycling	
12.9.2026 - 13.9.2026	2026 Archery World Cup Final	Archery	
13.9.2026	2026 Spanish Grand Prix (F1) #16	Formula racing	
13.9.2026	2026 San Marino and Rimini Riviera motorcycle Grand Prix (MotoGP #14)	Motorcycle racing	
15.9.2026 - 26.9.2026	2026 European Amateur Boxing Championships	Amateur boxing	
17.9.2026 - 18.9.2026	2026 WSBK Spanish round	Motorcycle racing	
17.9.2026 - 20.9.2026	2026 Baseball5 Pan American Championship	Baseball5	
19.9.2026 - 26.9.2026	2026 European Bowls Championships	Bowls	
19.9.2026 - 4.10.2026	2026 Asian Games	Asian Games	
20.9.2026	2026 Caribbean Premier League finals	Cricket	
20.9.2026	2026 Austrian motorcycle Grand Prix (MotoGP #15)	Motorcycle racing	
20.9.2026 - 27.9.2026	2026 UCI Road World Championships	Road bicycle racing	
22.9.2026 - 27.9.2026	2026 European Orienteering Championships	Orienteering	
24.9.2026 - 3.10.2026	2026 World Archery 3D Championships	Archery	
25.9.2026 - 4.10.2026	2026 U-15 Baseball World Cup	Baseball	
26.9.2026	2026 Azerbaijan Grand Prix (F1) #17	Formula racing	
27.9.2026	2026 6 Hours of Fuji (WEC #7)	Endurance racing	
27.9.2026	2026 Berlin Marathon (WMM #5)	Marathon	
30.9.2026 - 18.10.2026	2026 World Skate Games	Roller sports	
1.11.2026	2026 New York City Marathon (WMM #7)	Marathon	
1.11.2026	2026 Malaysian motorcycle Grand Prix (MotoGP #19)	Motorcycle racing	
1.11.2026 - 8.11.2026	2026 BWF Para-Badminton World Championships	Para-badminton	
3.11.2026 - 7.11.2026	2026 UCI Urban Cycling World Championships	Urban Cycling	
5.11.2026 - 8.11.2026	2026 Trampoline Gymnastics World Championships	Trampoline	
6.11.2026 - 7.11.2026	2026 Breeders' Cup	Horse racing	
6.11.2026 - 15.11.2026	2026 U-23 Baseball World Cup	Baseball	
7.11.2026	2026 8 Hours of Bahrain (WEC #8)	Endurance racing	
8.11.2026	2026 Sao Paulo Grand Prix (F1) #20	Formula racing	
8.11.2026	2026 Qatar motorcycle Grand Prix (MotoGP #20)	Motorcycle racing	
8.11.2026 - 9.11.2026	2026 UCI Cyclo-cross European Championships	Cyclo-cross	
13.11.2026	2026 European Cross Country Championships	Athletics	
13.11.2026 - 22.11.2026	2026 Amputee Football World Cup	Amputee football	
15.11.2026	113th Grey Cup	Canadian football	
15.11.2026	2026 Portuguese motorcycle Grand Prix (MotoGP #21)	Motorcycle racing	
15.11.2026 - 22.11.2026	2026 ATP Finals	Tennis	
19.11.2026 - 22.11.2026	2026 World Judo Juniors Championships	Judo	
20.11.2026 - 27.11.2026	2026 U-12 Pan American Baseball Championship	Baseball	
21.11.2026 - 8.1.2026	2025–26 Ashes series	Cricket	
21.11.2026	2026 Las Vegas Grand Prix (F1) #21	Formula Racing	
21.11.2026 - 28.11.2026	2026 ITTF World Youth Championships	Table tennis	
22.11.2026	2026 Valencian Community motorcycle Grand Prix (MotoGP #22)	Motorcycle racing	
23.11.2026 - 29.11.2026	2026 Teqball World Championships	Teqball	
25.11.2026 - 2.12.2026	2026 World Boxing Cup Finals	Amateur boxing	
28.11.2026	2026 Copa Libertadores final	Association football	
29.11.2026	2026 Lusail Grand Prix (F1) #22	Formula Racing	
29.11.2026 - 6.12.2026	2026 ITTF Mixed Team World Cup	Table tennis	
30.11.2026 - 6.12.2026	2026 World Bowls Junior Indoor Championship	Bowls	
3.12.2026 - 20.12.2026	2026 European Women's Handball Championship	Handball	
4.12.2026 - 6.12.2026	2026 ARRC Chang round	Motorcycle racing	
6.12.2026	2026 Copa do Brasil final	Association football	
6.12.2026	2026 Abu Dhabi Grand Prix (F1) #23	Formula Racing	
7.12.2026 - 13.12.2026	2026 BWF World Tour Finals	Badminton	
7.12.2026 - 13.12.2026	2026 FIVB Volleyball Women's Club World Championship	Volleyball	
9.12.2026 - 13.12.2026	2026 Baseball5 World Cup	Baseball5	
13.12.2026	2026 Liga Profesional de Fútbol Tornea Clausura final	Association football	
14.12.2026 - 20.12.2026	2026 FIVB Volleyball Men's Club World Championship	Volleyball	
18.12.2026	2026 MLS Cup	Association football	
20.12.2026	2026 European Women's Handball Championship final	Handball	
